Pitch,Time,TDRDF1,TDRDF2,TDRDF3,TDRDF4
3.3,4.35,84.33501024,84.92509763,83.9973054,84.54857856
3.3,4.4,84.70446476,85.41595418,84.57085103,85.11139041
3.3,4.45,85.43806462,85.84821776,85.07049924,85.60039672
3.3,4.5,85.86580544,86.61004075,85.65090402,86.30155154
3.3,4.55,86.57658589,87.22169834,86.28743614,86.90057035
3.3,4.6,87.37398202,87.95662869,87.0315286,87.60082488
3.3,4.65,88.0309259,88.5975294,87.81682238,88.41496235
3.3,4.7,88.99949242,89.52203,88.57541656,89.22589937
3.3,4.75,89.74366907,90.30292489,89.55535538,90.07727597
3.3,4.8,90.65813111,91.14032337,90.44811389,90.91735979
3.3,4.85,91.54954884,92.10849152,91.35897447,91.81973613
3.3,4.9,92.43859731,92.98312407,92.2561233,92.7043481
3.3,4.95,93.46572632,93.80659436,93.20406549,93.68468578
3.3,5,94.3018735,94.86493051,94.21653248,94.66662627
3.3,5.05,95.41294267,95.71850184,95.02582988,95.5263988
3.3,5.1,96.37869046,96.71933214,96.18749574,96.49503846
3.3,5.15,97.31371938,97.67816231,97.10516553,97.47540846
3.3,5.2,98.33327474,98.78637243,98.21430879,98.54157144
3.3,5.25,99.42407475,99.68864342,99.20038589,99.5248307
3.3,5.3,100.3959957,100.648031,100.315919,100.4857869
3.3,5.35,101.3886266,101.7762663,101.2437767,101.6058127
3.3,5.4,102.4845309,102.6380999,102.3259197,102.5356997
3.3,5.45,103.4195634,103.6798302,103.3588331,103.5342739
3.3,5.5,104.4134164,104.6012795,104.2254277,104.554177
3.3,5.55,105.3575122,105.4012132,105.181136,105.3610674
3.3,5.6,106.2566263,106.3663384,106.2683976,106.3482395
3.3,5.65,107.2121702,107.2428362,107.1789394,107.2607394
3.3,5.7,108.0890576,108.1775191,108.0491833,108.0854798
3.3,5.75,108.8536618,108.9914155,108.929007,108.9089913
3.3,5.8,109.743009,109.7605033,109.734417,109.7820303
3.3,5.85,110.5485534,110.3411255,110.4850247,110.5751683
3.3,5.9,111.2181086,111.1132818,111.3540915,111.3285856
3.3,5.95,111.9395119,111.8384303,112.0216374,111.8836454
3.3,6,112.5614536,112.3529269,112.6882557,112.4390219
3.3,6.05,113.2525976,112.9716977,113.2040317,113.157529
3.3,6.1,113.663382,113.5268937,113.9047644,113.6898702
3.3,6.15,114.2946015,114.0081967,114.2438668,114.0709171
3.3,6.2,114.7083536,114.2380569,114.7994668,114.6036647
3.3,6.25,115.0537848,114.6267488,115.0957197,114.9139885
3.3,6.3,115.3855239,115.0278253,115.5031212,115.1659536
3.3,6.35,115.7355675,115.1243012,115.8281591,115.5709523
3.3,6.4,115.8460547,115.318587,116.0798413,115.6711508
3.3,6.45,116.0105089,115.4478265,116.1898219,115.7675542
3.3,6.5,116.1309213,115.6082854,116.221313,115.7986358
3.3,6.55,116.0012908,115.6686193,116.3687876,115.9461873
3.3,6.6,116.0614911,115.5245777,116.2012687,115.825433
3.3,6.65,115.9299628,115.4643196,116.2141072,115.6471148
3.3,6.7,115.8536302,115.2378907,116.0983233,115.4988967
3.3,6.75,115.643662,114.9854836,115.8181457,115.4289099
3.3,6.8,115.2933266,114.771488,115.5154144,115.1011932
3.3,6.85,114.9592284,114.4795597,115.2296657,114.655628
3.3,6.9,114.5972162,113.9677452,114.7545455,114.231737
3.3,6.95,114.1530783,113.437602,114.3281681,113.8587294
3.3,7,113.6150037,113.0241861,113.8707137,113.2744534
3.3,7.05,112.9764768,112.5705212,113.4033889,112.8852841
3.3,7.1,112.5432433,111.9170414,112.793856,112.1797813
3.3,7.15,111.7176862,111.1552894,111.9791325,111.6480536
3.3,7.2,111.1825782,110.6164064,111.3280329,110.8182986
3.3,7.25,110.3467166,109.8010714,110.5425244,110.1658236
3.3,7.3,109.6452409,108.9633215,109.9091731,109.3109791
3.3,7.35,108.6665473,108.1451652,108.9986465,108.532637
3.3,7.4,107.9089371,107.3387741,108.2134426,107.6332189
3.3,7.45,107.0233139,106.4139387,107.2923481,106.7817752
3.3,7.5,106.1103249,105.6868139,106.2852178,105.9643867
3.3,7.55,105.0793055,104.5803093,105.315409,104.9544847
3.3,7.6,104.2099619,103.7534166,104.4148948,104.0158458
3.3,7.65,103.2745309,102.8630206,103.3553963,103.0752185
3.3,7.7,102.1652294,101.7297734,102.4011467,102.037911
3.3,7.75,101.2585759,100.8809357,101.4153493,101.0458393
3.3,7.8,100.2833949,99.91930483,100.4291648,99.96536937
3.3,7.85,99.09357946,98.77533599,99.32933017,99.06273438
3.3,7.9,98.24931506,97.82349129,98.27591826,97.91300873
3.3,7.95,97.15613915,96.91293851,97.27199153,96.93565611
3.3,8,96.12758649,95.81981994,96.19621926,96.04364699
3.3,8.05,95.21116465,94.89083243,95.18035687,94.9384903
3.3,8.1,94.21414516,93.90860145,94.17065497,93.98367473
3.3,8.15,93.22010305,93.08117907,93.20834867,93.08386005
3.3,8.2,92.28493406,92.07260448,92.22018115,92.20296062
3.3,8.25,91.37117368,91.21837561,91.37019611,91.20990545
3.3,8.3,90.47746287,90.42848018,90.56488408,90.37060209
3.3,8.35,89.48748982,89.6751054,89.51432056,89.56378092
3.3,8.4,88.70366716,88.77153599,88.66928446,88.67453314
3.3,8.45,87.95306769,88.06757948,88.03685415,88.01804513
3.3,8.5,87.17884908,87.41091733,87.2573622,87.29615401
3.3,8.55,86.48520269,86.73622845,86.49144779,86.45947301
3.3,8.6,85.75168619,85.96164377,85.87164068,85.97127594
3.3,8.65,85.12863268,85.46867009,85.19294659,85.33180859
3.3,8.7,84.61499481,84.96982561,84.50722159,84.6717532
3.3,8.75,84.22203366,84.36012023,84.12595382,84.22214175
3.3,8.8,83.68741723,84.07998243,83.67927079,83.69980803
3.3,8.85,83.32605582,83.57632101,83.24999653,83.37309348
3.3,8.9,82.99438288,83.35655065,82.82741175,83.10646603
3.3,8.95,82.65528553,83.11994692,82.60129764,82.73862415
3.3,9,82.39511144,82.908877,82.3596986,82.59956367
3.3,9.05,82.2408111,82.7683525,82.10302785,82.42945018
3.3,9.1,82.24424366,82.66935217,81.96985621,82.38394122
3.3,9.15,82.09770569,82.6041117,81.95295748,82.20480576
3.3,9.2,82.12569459,82.58256974,81.99245322,82.23079513
3.3,9.25,82.18056903,82.69635612,81.91687934,82.34128256
3.3,9.3,82.42693571,82.78985098,82.20040466,82.47446142
3.3,9.35,82.49376925,83.09736142,82.34088183,82.66801015
3.3,9.4,82.74916793,83.36413387,82.59709853,83.01848607
3.3,9.45,83.16029708,83.722698,82.84399189,83.41241682
3.3,9.5,83.47840988,84.05668491,83.15154304,83.74968706
3.3,9.55,83.93891429,84.40271716,83.66898239,84.10477564
3.3,9.6,84.4206844,85.06658322,84.1999046,84.72562748
3.3,9.65,84.87389827,85.58697606,84.57297479,85.08585478
3.3,9.7,85.46815514,86.20929767,85.16193708,85.84972595
3.3,9.75,86.24113095,86.70082924,85.81621657,86.33404699
3.3,9.8,86.78978318,87.33040786,86.55800751,87.07698095
3.3,9.85,87.46015486,88.18486862,87.25805061,87.85076195
3.3,9.9,88.3980055,88.83870882,88.06423896,88.61545722
3.3,9.95,89.13134911,89.77384339,88.96022275,89.3306674
3.3,10,89.94087095,90.48931457,89.70288311,90.18337519
3.3,10.05,90.85341332,91.41342405,90.61151928,91.10222456
3.3,10.1,91.70642012,92.36728873,91.46619216,92.04358629
3.3,10.15,92.71736706,93.28260577,92.37214139,93.00016899
3.3,10.2,93.74290174,94.05675735,93.43919505,93.82675892
3.3,10.25,94.66337539,95.13921361,94.3546835,94.86205372
3.3,10.3,95.52534437,96.04600219,95.48493733,95.7477181
3.3,10.35,96.54562573,97.07904114,96.44019034,96.80323741
3.3,10.4,97.60733657,97.94791786,97.44058018,97.75767932
3.3,10.45,98.56355849,99.07941226,98.41724801,98.78692853
3.3,10.5,99.74852651,100.0052955,99.44056122,99.91581828
3.3,10.55,100.7859703,100.9598189,100.539771,100.7768783
3.3,10.6,101.6058715,102.0151455,101.6207129,101.9295767
3.3,10.65,102.6844657,102.9507929,102.6510545,102.7394625
3.3,10.7,103.7132127,103.824793,103.5923512,103.8427953
3.3,10.75,104.586659,104.8229843,104.5093732,104.6892473
3.3,10.8,105.6831124,105.7195012,105.6260529,105.6482917
3.3,10.85,106.5052683,106.6378254,106.5811484,106.5783547
3.3,10.9,107.3714777,107.3972472,107.409924,107.5865859
3.3,10.95,108.3602879,108.2760829,108.3143274,108.2863289
3.3,11,109.1143562,109.1869722,109.1960337,109.1504777
3.3,11.05,110.016856,109.9585664,110.0556011,109.9356561
3.3,11.1,110.6330752,110.6537553,110.7113984,110.7470682
3.3,11.15,111.4559982,111.3624462,111.3845238,111.441161
3.3,11.2,112.2049099,111.9051381,112.1670951,112.1411965
3.3,11.25,112.6894596,112.4658164,112.7752277,112.7923413
3.3,11.3,113.2986116,113.1901157,113.4720723,113.1993606
3.3,11.35,113.9493279,113.6217438,113.8975864,113.700114
3.3,11.4,114.3049472,114.1045793,114.4589042,114.3188584
3.3,11.45,114.8196861,114.4110971,114.9853598,114.6378314
3.3,11.5,115.0700616,114.7883507,115.2096554,115.0265916
3.3,11.55,115.538356,114.9816297,115.5456508,115.2358291
3.3,11.6,115.7227617,115.2391122,115.874342,115.4948408
3.3,11.65,115.9547448,115.520376,116.0941326,115.7048587
3.3,11.7,115.9251467,115.4628663,116.1859838,115.8920445
3.3,11.75,116.173363,115.589326,116.271844,115.9628128
3.3,11.8,116.059423,115.5300256,116.3693566,115.9755778
3.3,11.85,116.0958562,115.5831185,116.2453453,115.8080946
3.3,11.9,115.8728895,115.3774414,116.2303112,115.6666815
3.3,11.95,115.6670917,115.2352838,115.8918005,115.5493551
3.3,12,115.4592726,114.8718544,115.8045871,115.2166567
3.3,12.05,115.2683381,114.6401833,115.5188257,114.8832728
3.3,12.1,114.7697218,114.3772474,115.185712,114.6854308
3.3,12.15,114.5338299,113.8956296,114.6260615,114.2683875
3.3,12.2,114.0733983,113.310866,114.2777455,113.781473
3.3,12.25,113.4126324,112.9712811,113.6573761,113.2231256
3.3,12.3,112.8688653,112.3593639,113.2078477,112.7442717
3.2,12.35,112.2879364,111.7259446,112.5609835,112.0701085
3.2,12.4,111.6671976,111.0023363,111.9540847,111.3412725
3.2,12.45,110.9985699,110.3291823,111.2267897,110.637287
3.2,12.5,110.1002971,109.6657913,110.4043192,109.8700556
3.2,12.55,109.396095,108.7760134,109.5288183,109.1306793
3.2,12.6,108.5683602,108.0288474,108.861885,108.2389439
3.2,12.65,107.6944544,107.1455759,107.9040875,107.3254207
3.2,12.7,106.7344595,106.3247328,106.9930545,106.5961603
3.2,12.75,105.8224866,105.3635192,106.0519127,105.6340042
3.2,12.8,104.8480658,104.3192337,105.2007312,104.6057004
3.2,12.85,103.8330732,103.5424382,104.1590282,103.7461575
3.2,12.9,102.8699587,102.4889392,103.0796386,102.759467
3.2,12.95,102.03221,101.4442353,102.2314943,101.6775644
3.2,13,100.9558974,100.546439,101.1224329,100.7677993
3.2,13.05,99.90849775,99.52295824,100.1450791,99.78899958
3.2,13.1,98.90380883,98.62414946,99.10618732,98.69777403
3.2,13.15,97.82565424,97.64706097,97.97825691,97.75845314
3.2,13.2,96.78788827,96.50239679,97.08774233,96.70968194
3.2,13.25,95.91051828,95.68747655,95.94839288,95.71213472
3.2,13.3,94.79231133,94.68612761,95.00827633,94.7716021
3.2,13.35,93.86511021,93.70427085,93.97992666,93.69215567
3.2,13.4,92.95726805,92.84912454,92.9765407,92.87036638
3.2,13.45,91.95774796,91.82252035,92.0569066,91.99610812
3.2,13.5,91.09140739,91.09147429,91.13156105,90.96040515
3.2,13.55,90.2247095,90.20057805,90.28016197,90.24422833
3.2,13.6,89.25881981,89.32750035,89.33489612,89.34158936
3.2,13.65,88.42583868,88.54485359,88.60646019,88.48151366
3.2,13.7,87.677296,87.73527935,87.80605628,87.69046478
3.2,13.75,86.94578569,87.0890496,86.90353025,87.01384753
3.2,13.8,86.37032236,86.46868813,86.27932957,86.40906012
3.2,13.85,85.58385885,85.84750514,85.63681963,85.70828697
3.2,13.9,85.09127226,85.23777835,84.9535834,85.04021996
3.2,13.95,84.41196672,84.677563,84.40289075,84.59822437
3.2,14,83.91831526,84.39787319,83.8467684,84.13226703
3.2,14.05,83.64970101,83.8909894,83.44768235,83.65481063
3.2,14.1,83.22710878,83.61247916,83.01263674,83.23846257
3.2,14.15,82.77172693,83.17634723,82.72831058,82.98811175
3.2,14.2,82.55039651,83.04588085,82.37801435,82.69356075
3.2,14.25,82.35441163,82.71039511,82.18314314,82.48687794
3.2,14.3,82.18488051,82.63973903,82.0048745,82.32171914
3.2,14.35,82.03075787,82.61521937,82.02064665,82.29707371
3.2,14.4,82.00244699,82.59137063,81.85311225,82.3637339
3.2,14.45,82.16557251,82.66769355,81.99271124,82.26961189
3.2,14.5,82.1519245,82.80250274,81.93860537,82.34924267
3.2,14.55,82.41236272,82.98841315,82.21814667,82.51084493
3.2,14.6,82.52657617,83.24463977,82.35878112,82.72903074
3.2,14.65,82.86132,83.46851319,82.7178001,83.0697049
3.2,14.7,83.13963874,83.69486451,82.94702881,83.48736439
3.2,14.75,83.54114842,84.26540454,83.33086558,83.75799115
3.2,14.8,84.05420998,84.55363569,83.86106913,84.30346064
3.2,14.85,84.56927181,85.1837527,84.23466896,84.88084309
3.2,14.9,85.10406617,85.74929996,84.79260311,85.36951132
3.2,14.95,85.74359029,86.21788289,85.48536857,85.84919608
3.2,15,86.30860219,86.8635805,85.98062844,86.61046322
3.2,15.05,87.08855206,87.56876772,86.74808939,87.34191353
3.2,15.1,87.80869196,88.3448387,87.43376961,88.0139917
3.2,15.15,88.47858775,89.05600139,88.37110772,88.70985858
3.2,15.2,89.35215658,89.99365852,89.12348381,89.65939399
3.2,15.25,90.29827392,90.85647767,89.87455137,90.48557644
3.2,15.3,91.14961388,91.65612335,90.84636649,91.43869703
3.2,15.35,92.01192534,92.44128092,91.73002833,92.23929462
3.2,15.4,92.95630749,93.40752239,92.70690244,93.26497463
3.2,15.45,93.92226504,94.31560952,93.6796217,94.15402543
3.2,15.5,94.9562379,95.38223687,94.61943002,95.15017714
3.2,15.55,95.9306125,96.34904371,95.62239183,96.06971279
3.2,15.6,96.91533296,97.34894373,96.73797099,97.06179384
3.2,15.65,97.86751547,98.21143316,97.74113424,98.04926856
3.2,15.7,98.904914,99.35438679,98.80371587,99.10412248
3.2,15.75,99.95640727,100.2900291,99.77450655,100.0692793
3.2,15.8,100.9903759,101.1897794,100.851759,101.1511613
3.2,15.85,101.9827988,102.1837584,101.7982349,102.0470494
3.2,15.9,102.9384687,103.1630205,102.8811872,103.135145
3.2,15.95,103.9624414,104.1689002,103.7680418,104.0360165
3.2,16,104.9661328,104.994552,104.8965046,105.0841165
3.2,16.05,105.7941732,106.0656628,105.8159319,105.9965984
3.2,16.1,106.8714184,106.9677165,106.7449163,106.8358918
3.2,16.15,107.7227651,107.7566928,107.5658743,107.6629926
3.2,16.2,108.5301411,108.6443582,108.4651023,108.5321813
3.2,16.25,109.3656144,109.4064066,109.3457208,109.3527644
3.2,16.3,110.2787675,110.157258,110.2313378,110.2289593
3.2,16.35,110.9318207,110.7848929,110.8859787,110.9202707
3.2,16.4,111.7433647,111.5825268,111.6153136,111.5265263
3.2,16.45,112.3058715,112.0332743,112.2950647,112.2427321
3.2,16.5,112.9157051,112.7126477,113.0305767,112.919802
3.2,16.55,113.4193414,113.2307543,113.6327365,113.4953795
3.2,16.6,113.9608318,113.7454472,114.19555,113.9565933
