Time,TDRDF1,TDRDF2,TDRDF3,TDRDF4
0.0,104.268455750568,101.65086886515638,103.96071734129997,102.34077844003016
0.03793103448275863,104.55702774253463,101.7012352976564,103.96806067247435,102.93728069258846
0.07586206896551725,104.60330601087159,102.17509303582636,104.31714643467632,103.1226987900721
0.11379310344827588,104.97734759099393,102.40841425892368,104.65306600137612,103.5881929963039
0.1517241379310345,105.023661049,102.42455823695717,104.68152808204829,103.63136858814553
0.18965517241379315,105.15939281910184,102.59059789623653,104.805124528709,103.7632784216468
0.22758620689655176,106.07322594380558,103.95295994510222,105.8888357931016,104.72653019851238
0.2655172413793104,106.02024572715528,104.01488990162117,105.88219720891597,104.86088015580839
0.303448275862069,106.42887345292206,104.12919572987319,106.0686501899785,105.0490429743161
0.34137931034482766,106.50822618708337,104.37101836765733,106.12831995298762,105.19625467573886
0.3793103448275863,107.22389905982669,105.36028730169667,106.97169548321597,105.7094245857015
0.4172413793103449,107.12650512832644,105.52751602620356,107.05661392224505,105.90173182110678
0.4551724137931035,107.45767133773313,105.58925854150871,107.11831126360008,106.20857606832658
0.49310344827586217,107.73786810908777,105.96674476641873,107.32931707769119,106.51243689211299
0.5310344827586208,110.72677914190733,109.08673086011714,110.62448410930917,109.59602673172061
0.5689655172413794,110.38486527253335,108.62439269220599,110.35969684166017,109.2786785519251
0.606896551724138,110.61742611042747,108.9164079307238,110.55692254508153,109.19742650171857
0.6448275862068966,110.6790353135872,109.05228730580947,110.61718443228945,109.25509240686677
0.6827586206896553,111.68678714478693,109.94519486081077,111.63791904775383,110.38412411436803
0.7206896551724139,111.51989356561032,110.1383750655699,111.78824959411234,110.46172288307451
0.7586206896551726,111.75681008767235,110.37029496902957,111.97220944082453,110.584461580285
0.7965517241379312,111.81025737972965,110.52017425042868,112.03649550069419,110.66160822334092
0.8344827586206898,112.78932800162534,111.41826337875351,112.99903405626806,111.70224776310721
0.8724137931034485,112.73215164533154,111.48746425657298,113.04094383215559,111.61520989010373
0.910344827586207,112.7737200649084,111.51019234317118,113.03494732582406,111.61138944631668
0.9482758620689656,112.81849917730791,111.65614875331762,113.11862525065031,111.70465836401257
0.9862068965517243,112.90333059328448,111.77906711292604,113.17432899026336,111.81811009503244
1.024137931034483,112.97070970693531,111.73009932803791,113.10503292545869,111.9366296080291
1.0620689655172415,112.9629248951118,112.10178403326569,113.401757389514,111.99083768114934
1.1,113.54626205056806,112.54365999569211,114.02942164795166,112.51228240235531
